Date,Ethereum,Ronin,Flow,Solana,WAX,Polygon,Tezos,Panini,BNB Chain,Theta,Avalanche
2020-02-09,206563.80750249943,0.0,0.0,0.0,0.0,0.0,0.0,94938.89,0.0,0.0,0.0
2020-02-16,228596.0221310828,0.0,0.0,0.0,0.0,0.0,0.0,23673.56,0.0,0.0,0.0
2020-02-23,250372.21746193565,0.0,0.0,0.0,0.0,0.0,0.0,28489.92,0.0,0.0,0.0
2020-03-01,259068.7620797385,0.0,0.0,0.0,0.0,0.0,0.0,27510.25,0.0,0.0,0.0
2020-03-08,176987.58188597806,0.0,0.0,0.0,0.0,0.0,0.0,28489.88,0.0,0.0,0.0
2020-03-15,112074.66225632862,0.0,0.0,0.0,4.051507440644,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,117027.80606043755,0.0,0.0,0.0,1.5147280532348,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,112076.97754742068,0.0,0.0,0.0,1.0415923024515,0.0,0.0,3310.0,0.0,0.0,0.0
2020-04-05,133257.35879930246,0.0,0.0,0.0,0.309633106454,0.0,0.0,15656.0,0.0,0.0,0.0
2020-04-12,97520.93134849276,0.0,0.0,0.0,2.6345666085763,0.0,0.0,18957.84,0.0,0.0,0.0
2020-04-19,128274.61413762507,0.0,0.0,0.0,3.7392768416175,0.0,0.0,20246.98,0.0,0.0,0.0
2020-04-26,146764.8026359497,0.0,0.0,0.0,0.0,0.0,0.0,10702.33,0.0,0.0,0.0
2020-05-03,137509.84389954823,0.0,0.0,0.0,5.29225410386385,0.0,0.0,7756.08,0.0,0.0,0.0
2020-05-10,144058.8527588911,0.0,0.0,0.0,53156.09948351936,0.0,0.0,16343.03,0.0,0.0,0.0
2020-05-17,209464.1770970259,0.0,0.0,0.0,228547.3254562429,0.0,0.0,11520.33,0.0,0.0,0.0
2020-05-24,246054.0188998684,0.0,0.0,0.0,71721.41380682224,0.0,0.0,6180.3099999999995,0.0,0.0,0.0
2020-05-31,167028.7547267819,0.0,0.0,0.0,123397.05446540879,0.0,0.0,4506.3099999999995,0.0,0.0,0.0
2020-06-07,123308.20753097437,0.0,0.0,0.0,49267.080041710346,0.0,0.0,6163.57,0.0,0.0,0.0
